Назва товару,Ціна,Категорія
"Ноутбук HP Victus Gaming 16-s0009ua (8F2D0EA) Performance Blue / AMD Ryzen 5 7640HS / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3050, 6 ГБ / Підсвітка клавіатури + Комплект дротовий Piko 4 в 1 GX200 USB у подарунок!",36 999₴,Ноутбуки
"Ноутбук ASUS TUF Gaming A17 FA707NU-HX023 (90NR0EF6-M00280) Jaeger Gray / 17.3"" IPS 144 Гц / AMD Ryzen 7 7735HS / RAM 16 ГБ / SSD 512 ГБ / RTX 4050, 6 ГБ / Зарядка по USB",48 999₴,Ноутбуки
"Ноутбук Acer Extensa 15 EX215-55-324X (NX.EGYEU.02Z) Steel Gray / 15.6"" IPS / Intel Core i3-1215U / RAM 12 ГБ / SSD 512 ГБ",17 999₴,Ноутбуки
Ноутбук Acer Aspire 3 A315-59-380S (NX.K6SEU.01P) Pure Silver / Intel Core i3-1215U / RAM 16 ГБ / SSD 512 ГБ,18 999₴,Ноутбуки
"Ноутбук HP Victus Gaming 16-r0014ua (9G9J2EA) Performance Blue / 16.1"" IPS Full HD 144 Гц / Intel Core i5-13500H / RAM 32 ГБ / SSD 512 ГБ / nVidia GeForce RTX 4050, 6 ГБ + Комплект дротовий Piko 4 в 1 GX200 USB у подарунок!",47 999₴,Ноутбуки
"Ноутбук Lenovo LOQ 15IRH8 (82XV00JTRA) Storm Grey / 15.6"" IPS Full HD 144 Гц / Intel Core i5-12450H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 4050, 6 ГБ",41 999₴,Ноутбуки
Ноутбук ASUS Vivobook Go 15 OLED E1504FA-L1529 (90NB0ZR2-M00U80) Mixed Black,24 499₴,Ноутбуки
"Ноутбук HP Victus Gaming 16-s0014ua (949X1EA) Performance Blue / 16.1"" IPS Full HD 144 Гц / AMD Ryzen 7 7840HS / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3050, 6 ГБ + Комплект дротовий Piko 4 в 1 GX200 USB у подарунок!",39 999₴,Ноутбуки
"Ноутбук Lenovo LOQ 15IAX9 (83GS00B6RA) Luna Grey / 15.6"" IPS Full HD 144 Гц / Intel Core i5-12450HX / RAM 24 ГБ / SSD 1 ТБ / nVidia GeForce RTX 3050, 6 ГБ /",39 999₴,Ноутбуки
"Ноутбук ASUS TUF Gaming A15 FA506NC-HN068 (90NR0JF7-M00830) Graphite Black + фірмовий рюкзак / 15.6"" IPS Full HD 144 Гц / AMD Ryzen 5 7535HS / RAM 16 ГБ / SSD 512 ГБ / NVIDIA GeForce RTX 3050, 4 ГБ /",33 499₴,Ноутбуки
"Ноутбук HP Envy 17-cw0009ua (949X2EA) Natural Silver / 17.3"" IPS Full HD / Intel Core i5-13500H / RAM 16 ГБ / SSD 1 ТБ / Windows 11 Home",42 999₴,Ноутбуки
